faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,detector,faults_pred,delta
1,1,1,0.21894,3708.1,4520.0,9.3634,26.851,42.553,2695.8,74.498,120.41,0.33653,80.19,50.612,2623.5,25.885,49.9,3095.8,23.915,65.282,215.46,337.85,94.635,76.989,31.25,8.8736,26.284,6.9015,18.86,1.6579,32.449,13.996,23.793,1.2444,19.068,2.2398,4.891,2.3353,0.011588,0.84024,0.11592,53.435,44.663,63.459,53.936,21.322,60.641,21.214,40.885,39.901,46.303,43.228,41.162,15.862,0,0,1
1,1,2,0.32847,3669.8,4511.5,9.3173,26.606,42.343,2696.9,75.371,120.4,0.35646,80.329,50.507,2624.3,27.039,50.535,3099.0,22.725,65.255,215.35,337.35,94.775,77.275,31.903,8.9646,26.255,6.7745,18.906,1.6634,33.016,13.65,24.565,1.1479,19.192,2.2082,5.0006,2.2991,0.020998,0.85428,0.07997,53.653,43.623,62.914,53.829,31.902,59.924,20.736,42.104,39.592,47.771,43.489,40.798,18.671,1,20,1
1,1,3,0.32584,3659.4,4510.5,9.3382,26.78,42.624,2696.9,75.825,120.43,0.35679,80.291,48.581,2624.3,23.871,51.708,3099.5,22.097,65.229,213.96,337.29,94.594,77.133,31.903,8.9646,26.255,6.7745,18.906,1.6634,33.016,13.65,24.565,1.1479,19.192,2.2082,5.0006,2.2991,0.020998,0.85428,0.07997,53.653,43.623,63.093,53.841,32.161,61.024,20.768,42.064,33.923,50.486,43.599,40.615,20.176,1,20,1
1,1,4,0.269,3701.0,4485.9,9.4336,26.409,42.178,2696.0,75.97,120.41,0.31639,80.223,50.734,2624.5,26.649,49.394,3097.6,23.132,65.236,214.98,337.76,94.734,77.092,31.832,9.0358,26.344,6.9857,19.148,1.6724,32.307,13.696,24.221,1.3446,18.92,2.2183,4.9031,2.3568,0.020998,0.85428,0.07997,53.653,43.623,63.532,54.005,26.595,59.277,20.931,37.724,40.26,45.132,43.496,40.837,17.731,0,0,1
1,1,5,0.2698,3699.8,4477.6,9.4473,27.031,42.393,2696.4,75.833,120.4,0.31665,80.266,50.843,2623.6,25.348,49.454,3098.8,22.368,65.226,215.2,337.12,94.551,77.15,31.832,9.0358,26.344,6.9857,19.148,1.6724,32.307,13.696,24.221,1.3446,18.92,2.2183,4.9031,2.3568,0.020998,0.85428,0.07997,53.653,43.623,63.553,54.103,26.516,61.277,21.092,37.692,40.579,45.27,43.464,41.09,19.544,0,0,1
1,1,6,0.28114,3607.4,4393.6,9.5402,26.988,41.843,2698.3,74.736,120.42,0.31788,80.322,48.882,2626.0,25.228,50.375,3098.2,22.913,65.194,215.18,337.87,94.672,77.466,31.986,8.7468,26.354,6.9542,18.935,1.6565,32.525,13.936,23.929,1.2298,18.948,2.2194,4.9045,2.2655,0.020998,0.85428,0.07997,53.653,43.623,63.293,54.472,27.39,59.465,21.416,38.56,34.811,47.402,43.453,40.747,18.233,0,0,1
1,1,7,0.28046,3625.5,4417.4,9.2974,26.609,42.257,2700.2,75.229,120.41,0.32046,80.474,51.905,2628.2,26.624,51.791,3101.1,22.706,65.207,215.46,337.59,94.647,77.379,31.986,8.7468,26.354,6.9542,18.935,1.6565,32.525,13.936,23.929,1.2298,18.948,2.2194,4.9045,2.2655,0.017255,0.85196,0.10428,54.423,43.693,62.981,54.187,27.457,61.809,21.096,38.246,43.705,50.679,43.795,40.551,18.713,0,0,1
1,1,8,0.26561,3661.6,4537.7,9.3315,26.896,42.331,2701.2,74.988,120.4,0.34671,80.596,48.595,2629.5,26.82,48.938,3100.8,21.886,65.298,216.78,338.08,94.644,77.589,32.207,9.0744,26.093,7.0134,19.473,1.6678,32.123,13.641,24.125,1.3137,18.82,2.3201,4.847,2.3192,0.017255,0.85196,0.10428,54.423,43.693,62.553,53.227,26.561,61.742,21.596,41.462,33.965,44.076,43.825,41.551,20.623,0,0,1
1,1,9,0.26891,3673.6,4516.8,9.1864,26.474,42.624,2699.6,74.506,120.39,0.34669,80.406,49.043,2627.2,24.303,49.104,3101.4,23.337,65.339,215.37,337.67,94.769,77.55,32.207,9.0744,26.093,7.0134,19.473,1.6678,32.123,13.641,24.125,1.3137,18.82,2.3201,4.847,2.3192,0.017255,0.85196,0.10428,54.423,43.693,62.347,53.477,26.236,62.408,20.754,41.465,35.284,44.461,44.095,40.082,17.178,1,20,1
1,1,10,0.24816,3621.1,4438.5,9.2407,26.793,42.436,2697.7,75.235,120.41,0.31236,80.166,48.828,2625.5,24.499,48.684,3096.9,22.711,65.319,214.91,338.8,94.673,76.841,31.918,9.0385,26.295,6.8409,18.868,1.6812,32.166,13.903,23.399,1.3535,19.149,2.2808,4.8962,2.2971,0.017255,0.85196,0.10428,54.423,43.693,62.635,53.021,24.263,63.194,21.385,37.691,34.651,43.488,44.284,41.116,18.73,0,0,1
